method,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
GraphResidualPLS4_GeoAgro90_k10_lam1,graph_residual,graph_residual,C0_base,GeoAgro90,10.0,,,1.0
GraphDirect_GeoAgro90_k10_lam2,graph_direct,graph_direct,,GeoAgro90,10.0,,,2.0
GraphResidualPLS4_GeoAgro90_k10_lam2,graph_residual,graph_residual,C0_base,GeoAgro90,10.0,,,2.0
GraphDirect_GeoAgro90_k10_lam4,graph_direct,graph_direct,,GeoAgro90,10.0,,,4.0
GraphResidualPLS4_GeoAgro90_k10_lam4,graph_residual,graph_residual,C0_base,GeoAgro90,10.0,,,4.0
GraphDirect_GeoAgro90_k10_lam8,graph_direct,graph_direct,,GeoAgro90,10.0,,,8.0
GraphResidualPLS4_GeoAgro90_k10_lam8,graph_residual,graph_residual,C0_base,GeoAgro90,10.0,,,8.0
GraphDirect_GeoAgro90_k12_lam0p25,graph_direct,graph_direct,,GeoAgro90,12.0,,,0.25
GraphResidualPLS4_GeoAgro90_k12_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,0.25
GraphDirect_GeoAgro90_k12_lam0p5,graph_direct,graph_direct,,GeoAgro90,12.0,,,0.5
GraphResidualPLS4_GeoAgro90_k12_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,0.5
GraphDirect_GeoAgro90_k12_lam1,graph_direct,graph_direct,,GeoAgro90,12.0,,,1.0
GraphResidualPLS4_GeoAgro90_k12_lam1,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,1.0
GraphDirect_GeoAgro90_k12_lam2,graph_direct,graph_direct,,GeoAgro90,12.0,,,2.0
GraphResidualPLS4_GeoAgro90_k12_lam2,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,2.0
GraphDirect_GeoAgro90_k12_lam4,graph_direct,graph_direct,,GeoAgro90,12.0,,,4.0
GraphResidualPLS4_GeoAgro90_k12_lam4,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,4.0
GraphDirect_GeoAgro90_k12_lam8,graph_direct,graph_direct,,GeoAgro90,12.0,,,8.0
GraphResidualPLS4_GeoAgro90_k12_lam8,graph_residual,graph_residual,C0_base,GeoAgro90,12.0,,,8.0
GraphDirect_GeoAgro75_k4_lam0p25,graph_direct,graph_direct,,GeoAgro75,4.0,,,0.25
GraphResidualPLS4_GeoAgro75_k4_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,0.25
GraphDirect_GeoAgro75_k4_lam0p5,graph_direct,graph_direct,,GeoAgro75,4.0,,,0.5
GraphResidualPLS4_GeoAgro75_k4_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,0.5
GraphDirect_GeoAgro75_k4_lam1,graph_direct,graph_direct,,GeoAgro75,4.0,,,1.0
GraphResidualPLS4_GeoAgro75_k4_lam1,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,1.0
GraphDirect_GeoAgro75_k4_lam2,graph_direct,graph_direct,,GeoAgro75,4.0,,,2.0
GraphResidualPLS4_GeoAgro75_k4_lam2,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,2.0
GraphDirect_GeoAgro75_k4_lam4,graph_direct,graph_direct,,GeoAgro75,4.0,,,4.0
GraphResidualPLS4_GeoAgro75_k4_lam4,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,4.0
GraphDirect_GeoAgro75_k4_lam8,graph_direct,graph_direct,,GeoAgro75,4.0,,,8.0
GraphResidualPLS4_GeoAgro75_k4_lam8,graph_residual,graph_residual,C0_base,GeoAgro75,4.0,,,8.0
GraphDirect_GeoAgro75_k6_lam0p25,graph_direct,graph_direct,,GeoAgro75,6.0,,,0.25
GraphResidualPLS4_GeoAgro75_k6_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,0.25
GraphDirect_GeoAgro75_k6_lam0p5,graph_direct,graph_direct,,GeoAgro75,6.0,,,0.5
GraphResidualPLS4_GeoAgro75_k6_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,0.5
GraphDirect_GeoAgro75_k6_lam1,graph_direct,graph_direct,,GeoAgro75,6.0,,,1.0
GraphResidualPLS4_GeoAgro75_k6_lam1,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,1.0
GraphDirect_GeoAgro75_k6_lam2,graph_direct,graph_direct,,GeoAgro75,6.0,,,2.0
GraphResidualPLS4_GeoAgro75_k6_lam2,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,2.0
GraphDirect_GeoAgro75_k6_lam4,graph_direct,graph_direct,,GeoAgro75,6.0,,,4.0
GraphResidualPLS4_GeoAgro75_k6_lam4,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,4.0
GraphDirect_GeoAgro75_k6_lam8,graph_direct,graph_direct,,GeoAgro75,6.0,,,8.0
GraphResidualPLS4_GeoAgro75_k6_lam8,graph_residual,graph_residual,C0_base,GeoAgro75,6.0,,,8.0
GraphDirect_GeoAgro75_k8_lam0p25,graph_direct,graph_direct,,GeoAgro75,8.0,,,0.25
GraphResidualPLS4_GeoAgro75_k8_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,0.25
GraphDirect_GeoAgro75_k8_lam0p5,graph_direct,graph_direct,,GeoAgro75,8.0,,,0.5
GraphResidualPLS4_GeoAgro75_k8_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,0.5
GraphDirect_GeoAgro75_k8_lam1,graph_direct,graph_direct,,GeoAgro75,8.0,,,1.0
GraphResidualPLS4_GeoAgro75_k8_lam1,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,1.0
GraphDirect_GeoAgro75_k8_lam2,graph_direct,graph_direct,,GeoAgro75,8.0,,,2.0
GraphResidualPLS4_GeoAgro75_k8_lam2,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,2.0
GraphDirect_GeoAgro75_k8_lam4,graph_direct,graph_direct,,GeoAgro75,8.0,,,4.0
GraphResidualPLS4_GeoAgro75_k8_lam4,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,4.0
GraphDirect_GeoAgro75_k8_lam8,graph_direct,graph_direct,,GeoAgro75,8.0,,,8.0
GraphResidualPLS4_GeoAgro75_k8_lam8,graph_residual,graph_residual,C0_base,GeoAgro75,8.0,,,8.0
GraphDirect_GeoAgro75_k10_lam0p25,graph_direct,graph_direct,,GeoAgro75,10.0,,,0.25
GraphResidualPLS4_GeoAgro75_k10_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,0.25
GraphDirect_GeoAgro75_k10_lam0p5,graph_direct,graph_direct,,GeoAgro75,10.0,,,0.5
GraphResidualPLS4_GeoAgro75_k10_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,0.5
GraphDirect_GeoAgro75_k10_lam1,graph_direct,graph_direct,,GeoAgro75,10.0,,,1.0
GraphResidualPLS4_GeoAgro75_k10_lam1,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,1.0
GraphDirect_GeoAgro75_k10_lam2,graph_direct,graph_direct,,GeoAgro75,10.0,,,2.0
GraphResidualPLS4_GeoAgro75_k10_lam2,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,2.0
GraphDirect_GeoAgro75_k10_lam4,graph_direct,graph_direct,,GeoAgro75,10.0,,,4.0
GraphResidualPLS4_GeoAgro75_k10_lam4,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,4.0
GraphDirect_GeoAgro75_k10_lam8,graph_direct,graph_direct,,GeoAgro75,10.0,,,8.0
GraphResidualPLS4_GeoAgro75_k10_lam8,graph_residual,graph_residual,C0_base,GeoAgro75,10.0,,,8.0
GraphDirect_GeoAgro75_k12_lam0p25,graph_direct,graph_direct,,GeoAgro75,12.0,,,0.25
GraphResidualPLS4_GeoAgro75_k12_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro75,12.0,,,0.25
GraphDirect_GeoAgro75_k12_lam0p5,graph_direct,graph_direct,,GeoAgro75,12.0,,,0.5
GraphResidualPLS4_GeoAgro75_k12_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro75,12.0,,,0.5
GraphDirect_GeoAgro75_k12_lam1,graph_direct,graph_direct,,GeoAgro75,12.0,,,1.0
GraphResidualPLS4_GeoAgro75_k12_lam1,graph_residual,graph_residual,C0_base,GeoAgro75,12.0,,,1.0
GraphDirect_GeoAgro75_k12_lam2,graph_direct,graph_direct,,GeoAgro75,12.0,,,2.0
